track_id,track_name,artists,artist_ids,artist_genres,danceability,energy,acousticness,instrumentalness,speechiness,valence,p_id,length,user
4BcB4wFE3TsL43vVZvlYsL,Furies in Love,['John Powell'],['3EAHF3jdnHHdko5DBrhRUP'],"['british soundtrack', 'scorecore', 'soundtrack', 'video game music']",0.0981,0.38,0.374,0.821,0.0427,0.0553,37i9dQZF1EtpxdGvvYugUm,100,sl
1AgGSwTaVhClOMC9MsvFzd,Eleonora,['Marianas Trench'],['68EB3QvNdVLkC7SAgDbHIR'],"['canadian rock', 'neon pop punk', 'pixie', 'pop punk', 'pop rock', 'post-teen pop']",0.326,0.206,0.129,0.0,0.0383,0.215,37i9dQZF1EtpxdGvvYugUm,100,sl
3MZwaRLlfyvPSIP7qHpBO8,Stationary Cycle,['Theodore Shapiro'],['6N1Kaz3CvRa9VLll5ahk9T'],['soundtrack'],0.488,0.178,0.857,0.886,0.0337,0.0383,37i9dQZF1EtpxdGvvYugUm,100,sl
01oCWVu7TA5UG19MfwYxZP,Time & Life,['Theodore Shapiro'],['6N1Kaz3CvRa9VLll5ahk9T'],['soundtrack'],0.557,0.123,0.926,0.927,0.0746,0.386,37i9dQZF1EtpxdGvvYugUm,100,sl
4VginDwYTP2eaHJzO0QMjG,Circles,['Post Malone'],['246dkjvS1zLTtiykXe5h60'],"['dfw rap', 'melodic rap', 'rap']",0.704,0.758,0.233,0.00144,0.0402,0.534,37i9dQZF1EtpxdGvvYugUm,100,sl
141SNZkvr2CYsiedNQmOCL,The Killing Kind,['Marianas Trench'],['68EB3QvNdVLkC7SAgDbHIR'],"['canadian rock', 'neon pop punk', 'pixie', 'pop punk', 'pop rock', 'post-teen pop']",0.298,0.578,0.266,0.0,0.0537,0.308,37i9dQZF1EtpxdGvvYugUm,100,sl
0h7aiRR56PVKT7Lit6U6GJ,"Arrival of the Birds (From ""The Crimson Wing Mystery of the Flamingos"")",['Various Artists'],['0LyfQWJT6nXafLPZqxe9Of'],[],0.497,0.262,0.981,0.923,0.0345,0.0685,37i9dQZF1EtpxdGvvYugUm,100,sl
1sMi8ywnrNKysixM34zH9W,La La Land - Acoustic,['Bryce Vine'],['1ShZZUjkbXCjhwrb18BA8I'],"['pop', 'pop rap']",0.734,0.415,0.559,0.0,0.0305,0.364,37i9dQZF1EtpxdGvvYugUm,100,sl
2f79JP5rd8e94v6pXrECUB,The Truth,['Fernando Velázquez'],['2pElTJJ5D3ziEPyvZsW5eF'],"['classic soundtrack', 'deep soundtrack', 'latin soundtrack', 'scorecore', 'soundtrack']",0.142,0.0476,0.965,0.976,0.0472,0.0362,37i9dQZF1EtpxdGvvYugUm,100,sl
7COXchtUOMd6uIT6HvmRaI,i'm so tired...,"['Lauv', 'Troye Sivan']","['5JZ7CnR6gTvEMKX4g70Amv', '3WGpXCj9YhhfX11TToZcXP']","['pop', 'post-teen pop', 'australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",0.599,0.733,0.176,0.0,0.203,0.534,37i9dQZF1EtpxdGvvYugUm,100,sl
